dataset,records,relation_id,relation_records,source
CounterFact,21919,P30,959,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P27,958,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P413,952,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P1412,924,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P103,919,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P176,911,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P495,904,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P37,891,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P17,875,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P136,847,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P937,846,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P106,821,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P20,816,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P449,794,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P19,779,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P740,774,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P159,756,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P364,751,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P131,714,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P190,621,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P276,613,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P178,579,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P101,545,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P1303,513,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P39,476,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P127,433,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P140,430,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P108,350,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P641,318,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P138,279,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P407,216,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P463,163,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P36,139,GitHub towards_atoms data; aggregate counts only
CounterFact,21919,P264,53,GitHub towards_atoms data; aggregate counts only
