benchmark,model,method,average,source
BFCL-V3,Qwen3-8B,FC,32.75,local paper Table 1 p.7
BFCL-V3,Qwen3-8B,KATE,46.0,local paper Table 1 p.7
BFCL-V3,Qwen3-8B,Direct RL,48.25,local paper Table 1 p.7
BFCL-V3,Qwen3-32B,FC,46.0,local paper Table 1 p.7
BFCL-V3,Qwen3-32B,KATE,50.5,local paper Table 1 p.7
AppWorld,Qwen3-8B,ReAct,4.1,local paper Table 2 p.7
AppWorld,Qwen3-8B,KATE,10.92,local paper Table 2 p.7
AppWorld,Qwen3-32B,ReAct,6.52,local paper Table 2 p.7
AppWorld,Qwen3-32B,Memp,9.62,local paper Table 2 p.7
AppWorld,Qwen3-32B,KATE,12.87,local paper Table 2 p.7
